Date,Amount,Description,
Apr-12,3.07,"Direct Deposit - Transfer Paypal
XXXXXXXXX8961",5
Mar-19,18.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Mar-20,25,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Mar-21,149.81,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Mar-25,34.38,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-27,3.4,"7528 Debit Card Purchase Ba C-Store Cafe
",2
Mar-29,52.52,7528 Debit Card Purchase Paypal *Khan,5
Mar-29,5,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
1-Apr,28.62,"7528 Debit Card Purchase DD Doordash
Littlecae",2
1-Apr,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-02,6.72,"7528 Recurring Debit Card Google
*Gsuite_mansal",5
Apr-02,22,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-05,105.84,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-08,64.98,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,57.59,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-08,30,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,5,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-10,17.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-11,51.45,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-11,69.57,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-11,99,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-12,40,"7528 Debit Card Purchase Paypal *Unhcr
",3
Apr-12,1.2,Intl Purch & Adv Fee   Vis 0410              Ch,5
Apr-15,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Mar-22,10,"Web Pmt- IAT Paypal Maram Susli
1033265339796",3
Mar-25,85,"Zel To Adam Gray
",5
Mar-25,605.99,Web Pmt- Remittance Remitly Inc,6
Apr-02,8.48,"Web Pmt- Inst Xfer Paypal Walmart Com
",5
Apr-03,83.84,Web Pmt- Inst Xfer Paypal Walmartplus,5
Apr-05,"2,500", Zel To Aaqib Mohammed,7
Apr-04,736.14,Zel To Cleveland Premium Rentals,4
Apr-09,62.4,"Web Pmt Recur- Payment Deserve Inc
1437817",1
Apr-10,66.96,"Web Pmt- ACH Pmt Amex Epayment M9058
",8
Apr-11,24.29,Web Pmt- Internet,5
Apr-11,64,"Web Pmt- Inst Xfer Paypal Najaminstit Naj
",1
Apr-11,36.14,Web Pmt- Inst Xfer Paypal Walmart Com,1
Jan-16,7.31,"Direct Deposit - Transfer Paypal
XXXXXXXXX2541",5
Dec-18,20,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Dec-18,9.45,"7528 Debit Card Purchase Chipotle 3828
",2
Dec-18,22.49,7528 Debit Card Purchase Tst* Indian Flame,2
Dec-18,4.85,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-19,15.7,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-19,6.5,"7528 Debit Card Purchase Insomnia Cookies-
Clev",2
Dec-20,5.97,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-21,12,"7528 Debit Card Purchase Tst* Chopstick
Chinese",2
Dec-21,12.15,"7528 Debit Card Purchase Chipotle 3828
",2
Dec-21,4.79,POS Purchase Walgreens Stor Cleveland He,2
Dec-26,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Dec-26,16.56,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-26,6.55,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-26,2.5,"POS Purchase Dollar General Cleveland He
Oh",2
Dec-26,10.7,"7528 Debit Card Purchase Paypal *Khan
Muhanned",2
Dec-26,12.8,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Dec-26,11.76,"7528 Debit Card Purchase Rite Aid 03043
",5
Dec-26,6.55,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-26,4.43,"POS Purchase Dollar General Cleveland He
Oh",2
Dec-27,15.06,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-27,10.33,"7528 Debit Card Purchase Subway 47775
Clevelan",2
Dec-27,5.58,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-28,24.13,"7528 Debit Card Purchase Domino's 2145
Clevela",2
Dec-29,104,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Dec-29,2,"POS Purchase Dollar General Cleveland He
Oh",2
Jan-02,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jan-02,73.66,"7528 Debit Card Purchase Tst* Indian Flame
",2
Jan-02,4.79,POS Purchase Walgreens Stor Cleveland He,2
Jan-02,6.49,"7528 Recurring Debit Card Google*Gsuite
Mansalv",5
Jan-04,1.75,"POS Purchase Dollar General Cleveland He
Oh",2
Jan-05,27.33,"7528 Debit Card Purchase Hunan Coventry
",2
Jan-08,28.26,7528 Debit Card Purchase Subway 47302,2
Jan-08,9.56,"7528 Debit Card Purchase Rascal House
Clevelan",2
Jan-08,53.96,"7528 Debit Card Purchase Paraside Biryani
Point",2
Jan-09,31.23,"7528 Debit Card Purchase Domino's 2145
Clevela",2
Jan-11,8.68,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Jan-12,10.48,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
Jan-12,3.59,POS Purchase Dollar General Cleveland He,2
Jan-16,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jan-16,22.2,"7528 Debit Card Purchase Gofundme Build
Limbs f",3
Jan-16,63.5,"7528 Debit Card Purchase Rumis Market &
Grill",2
Jan-16,11.15,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Jan-16,7.54,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Dec-20,486.99,"Web Pmt- Remittance Remitly Inc
R22Sgr7J23Zuwg6",6
