Date,Amount,Description,
Aug-21,152.32,Corporate ACH Ohio Pers 650914862734,9
Aug-17,32.26,POS Purchase Wholefds Ctr 1 University H,1
Aug-21,5.75,7528 Debit Card Purchase Starbucks Store,2
Aug-21,3.65,7528 Debit Card Purchase Starbucks Store,2
Aug-21,10,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Aug-21,13.45,POS Purchase Wholefds Ctr 1 University H,1
Aug-21,35.48,7528 Debit Card Purchase Pho & Rice,2
Aug-21,3.65,7528 Debit Card Purchase Starbucks Store,2
Aug-21,18.4,7528 Debit Card Purchase Chipotle 3828,2
Aug-23,4.75,7528 Debit Card Purchase Starbucks Store,2
Aug-23,8.86,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Aug-24,4.65,7528 Debit Card Purchase Starbucks Store,2
Aug-24,10,7528 Debit Card Purchase Paypal *Khan,5
Aug-31,7.6,7528 Debit Card Purchase Starbucks Store,2
Aug-31,103.99,7528 Debit Card Purchase Remitly* C9F0,5
Sep-05,6.49,7528 Recurring Debit Card Google,5
Sep-05,10,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Sep-05,5.4,7528 Debit Card Purchase Bonappetit Cma,2
Sep-07,3.95,7528 Debit Card Purchase Starbucks Store,2
Sep-07,4.95,7528 Debit Card Purchase Starbucks Store,2
Sep-11,5.45,7528 Debit Card Purchase Starbucks Store,2
Sep-11,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Sep-11,10.9,7528 Debit Card Purchase Chipotle 3828,2
Sep-12,3.95,7528 Debit Card Purchase Starbucks Store,2
Sep-13,51.48,7528 Debit Card Purchase Cilantro Thai,2
Sep-14,20.7,7528 Debit Card Purchase Starbucks Store,2
Sep-14,3.65,7528 Debit Card Purchase Starbucks Store,2
Sep-14,5.24,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Sep-15,5.95,7528 Debit Card Purchase Starbucks Store,2
Sep-15,3.95,7528 Debit Card Purchase Starbucks Store,2
Sep-15,2.69,POS Purchase Cedar Hill Rac Cleveland Oh,2
Sep-18,3.95,7528 Debit Card Purchase Starbucks Store,2
Sep-18,34.5,7528 Debit Card Purchase Gofundme,3
Sep-18,10,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Sep-18,10.9,7528 Debit Card Purchase Chipotle 3828,2
Sep-18,2.49,POS Purchase Cedar Hill Rac Cleveland Oh,2
Sep-18,5.45,7528 Debit Card Purchase Starbucks Store,2
Sep-18,50,7528 Debit Card Purchase Paypal *Khan,5
Sep-18,10,7528 Debit Card Purchase Paypal *Khan,5
Aug-22,43.55,Web Pmt- ACH Pmt Amex Epayment M7378,5
Aug-23,10,Web Pmt- Transfer Paypal Add To Balance,5
